ip,status,ths_15m,primary_cause,secondary_causes,solutions,evidence,file
10.102.0.137,0算力,0.000000,算力板/芯片异常,风扇异常；总线/通信异常,建议人工复核日志并做单机排障,"2026-03-23 00:20:04 Open miner sn file /config/sn error
2026-03-23 00:20:06 get test_loop_securely_find_asic_num failed
2026-03-23 23:27:49 Open miner sn file /config/sn error
2026-03-23 23:27:52 get test_loop_securely_find_asic_num failed
""Hardware Errors"": 0,
""Get Failures"": 0,
""Remote Failures"": 0,
""Get Failures"": 0,
""Remote Failures"": 0,
""Get Failures"": 0,
""Remote Failures"": 0,
""Get Failures"": 0,",logs_10_102_0_137_MINER-10-102-0-137.txt
10.102.0.141,0算力,0.000000,单链算力板故障致 SOC 停机（芯片数异常/CRC/通信）,日志中「power off hashboard」为关断算力板动作，勿与 PSU 模块故障混淆,根据日志定位异常 Chain（如 find 0 asic、仅 find 部分数量、reg crc error）；断电后重插该链算力板排线与供电，做与正常链互换槽位测试以区分板卡与接口；若故障随板迁移则更换算力板；若固定在槽位则检查控制板与该槽位连线；若固件支持可尝试暂时禁用故障链仅跑健康链（注意功耗与收益）,"2026-03-23 00:26:39 Chain 2 only find 0 asic, will power off hash board 2
2026-03-23 00:26:39 ERROR_SOC_INIT: soc init failed!
2026-03-23 00:26:39 stop_mining: soc init failed!
2026-03-23 00:26:39 ****power off hashboard****
2026-03-23 23:22:35 ****power off hashboard****
2026-03-23 23:27:39 ****power off hashboard****
2026-03-23 00:20:03 Open miner sn file /config/sn error
2026-03-23 00:20:05 get test_loop_securely_find_asic_num failed
2026-03-23 00:26:39 ATTENTION: Failed to find the chip on the 20 consecutive startup
2026-03-23 20:47:49 Open miner sn file /config/sn error
2026-03-23 20:47:50 get test_loop_securely_find_asic_num failed
2026-03-23 23:22:40 Open miner sn file /config/sn error",logs_10_102_0_141_MINER-10-102-0-141.txt
10.102.0.142,0算力,0.000000,多块算力板故障致 SOC 停机（芯片数严重不足/CRC）,日志中「power off hashboard」为关断算力板动作，勿与 PSU 模块故障混淆,日志中若多条 Chain 出现「only find … asic」远低于 110，且伴随 ERROR_SOC_INIT，多为多块板同时异常；分别检查各故障链的排线、供电接口；与正常链交叉换槽位判断是板还是槽位/控制板；确认 PSU 各组输出是否稳定，但勿将「power off hashboard」误判为 PSU 本体损坏；必要时逐板更换或送修；若固件支持可尝试仅启用健康链临时恢复部分算力,"2026-03-23 00:27:40 Chain 0 only find 0 asic, will power off hash board 0
2026-03-23 00:27:47 Chain 2 only find 0 asic, will power off hash board 2
2026-03-23 00:27:47 ERROR_SOC_INIT: soc init failed!
2026-03-23 00:27:47 stop_mining: soc init failed!
2026-03-23 00:27:47 ****power off hashboard****
2026-03-23 20:28:29 ****power off hashboard****
2026-03-23 20:34:23 Chain 0 only find 0 asic, will power off hash board 0
2026-03-23 20:34:31 Chain 2 only find 84 asic, will power off hash board 2
2026-03-23 20:34:31 ERROR_SOC_INIT: soc init failed!
2026-03-23 20:34:31 stop_mining: soc init failed!
2026-03-23 20:34:31 ****power off hashboard****
2026-03-23 20:47:43 ****power off hashboard****",logs_10_102_0_142_MINER-10-102-0-142.txt
10.102.0.146,0算力,0.000000,多块算力板故障致 SOC 停机（芯片数严重不足/CRC）,日志中「power off hashboard」为关断算力板动作，勿与 PSU 模块故障混淆,日志中若多条 Chain 出现「only find … asic」远低于 110，且伴随 ERROR_SOC_INIT，多为多块板同时异常；分别检查各故障链的排线、供电接口；与正常链交叉换槽位判断是板还是槽位/控制板；确认 PSU 各组输出是否稳定，但勿将「power off hashboard」误判为 PSU 本体损坏；必要时逐板更换或送修；若固件支持可尝试仅启用健康链临时恢复部分算力,"2026-03-23 00:24:45 Chain 0 only find 0 asic, will power off hash board 0
2026-03-23 00:24:49 ERROR_SOC_INIT: soc init failed!
2026-03-23 00:24:49 stop_mining: soc init failed!
2026-03-23 00:24:49 ****power off hashboard****
2026-03-23 20:28:29 ****power off hashboard****
2026-03-23 20:33:12 Chain 0 only find 0 asic, will power off hash board 0
2026-03-23 20:33:16 ERROR_SOC_INIT: soc init failed!
2026-03-23 20:33:16 stop_mining: soc init failed!
2026-03-23 20:33:16 ****power off hashboard****
2026-03-23 20:47:44 ****power off hashboard****
2026-03-23 23:22:35 ****power off hashboard****
2026-03-23 23:27:23 Chain 0 only find 0 asic, will power off hash board 0",logs_10_102_0_146_MINER-10-102-0-146.txt
10.102.0.150,0算力,0.000000,温度传感器通信失败（误报超温/温差保护停机）,日志含 Fan check passed，可排除风扇本体故障,根据日志确认 fail to read tsensor / pic temp 的 chain 号，检查该链算力板排线、PIC 传感器侧连接是否松动或氧化；与正常链交叉换槽位：故障随板走则更换算力板；固定在槽位则查控制板接口与线缆；若日志中 PCB/芯片温度读数明显低于上限仍报 ERROR_TEMP，多为传感器数据异常而非真实过热；确认对应链供电稳定；固件层面勿轻易关闭温度保护，优先硬件修复或更换故障板,"2026-03-23 00:55:00 fail to read tsensor by iic, chain: 2, slave: 76, addr: 0
2026-03-23 00:55:00 fail to read pic temp for chain 2
2026-03-23 01:17:02 fail to read tsensor by iic, chain: 2, slave: 76, addr: 0
2026-03-23 01:17:02 fail to read pic temp for chain 2
2026-03-23 01:33:02 ERROR_TEMP_TOO_HIGH: over max temp
2026-03-23 01:33:02 ****power off hashboard****
2026-03-23 20:47:44 ****power off hashboard****
2026-03-23 23:22:35 ****power off hashboard****
2026-03-23 23:27:39 ****power off hashboard****
2026-03-23 00:20:04 Open miner sn file /config/sn error
2026-03-23 00:20:06 get test_loop_securely_find_asic_num failed
2026-03-23 01:33:02 over max temp, pcb temp 89 (max 77), chip temp 104(max 95) pcb temp rise 0 chip temp rise 0, total_exit_failure 0",logs_10_102_0_150_MINER-10-102-0-150.txt
10.102.0.151,0算力,0.000000,总线/通信异常,网络/矿池连接异常；电源异常,检查控制板与算力板通信线缆是否松动或损坏；排查干扰与接触不良；升级固件后复测链路稳定性,"========== errors（错误） ==========
2026-03-19T21:55:20.476248Z [ERROR] Failed to resolve (""a830bcc3.bos.braiins.com"", 3336)
2026-03-19T21:55:41.503639Z [ERROR] Failed to resolve (""a830bcc3.bos.braiins.com"", 3336)
2026-03-20T17:21:40.529803Z [ERROR] Monitor task declared miner shutdown due to a failure requiring user attention: Shutdown: {ERR:T1} temperature 85 is above DANGEROUS; miner will be paused
2026-03-20T17:21:54.532314Z [ERROR] Miner was shut down and is now paused due to Shutdown: {ERR:T1} temperature 85 is above DANGEROUS
2026-03-20T17:22:46.228913Z [ERROR] Disabling hashchains in miners without power controller (no PIC) is not allowed {ERR:H1}; leaving hashchain 2 enabled
2026-03-20T17:22:46.238683Z [ERROR] Disabling hashchains in miners without power controller (no PIC) is not allowed {ERR:H1}; leaving hashchain 3 enabled
2015-01-01T00:02:44.994892Z [ERROR] Failed to resolve (""sha256.poolbinance.com"", 443)
2015-01-01T00:02:44.998828Z [ERROR] Failed to resolve (""btc.poolbinance.com"", 1800)
2015-01-01T00:02:45.001101Z [ERROR] Failed to resolve (""a830bcc3.bos.braiins.com"", 3336)
2026-03-10T17:41:25.953821Z [ERROR] Disabling hashchains in miners without power controller (no PIC) is not allowed {ERR:H1}; leaving hashchain 2 enabled
2026-03-10T17:41:25.963932Z [ERROR] Disabling hashchains in miners without power controller (no PIC) is not allowed {ERR:H1}; leaving hashchain 3 enabled",logs_10_102_0_151_MINER-10-102-0-151.txt
10.102.0.152,0算力,0.000000,算力板/芯片异常,总线/通信异常；风扇异常,建议人工复核日志并做单机排障,"2026-03-11 10:01:21 !!! reg crc error
2026-03-11 10:01:21 !!! reg crc error
2026-03-13 05:23:34 !!! reg crc error
2026-03-13 05:23:34 !!! reg crc error
2026-03-13 13:33:35 !!! reg crc error
2026-03-13 21:07:20 !!! reg crc error
2026-03-13 21:07:20 !!! reg crc error
2026-03-13 23:57:33 ****power off hashboard****
2026-03-14 01:42:48 ****power off hashboard****
2026-03-14 01:46:27 fail to read tsensor by iic, chain: 2, slave: 72, addr: 0
2026-03-14 01:46:27 fail to read pic temp for chain 2
2026-03-14 02:17:25 fail to read tsensor by iic, chain: 2, slave: 76, addr: 0",logs_10_102_0_152_MINER-10-102-0-152.txt
10.102.0.153,0算力,0.000000,多块算力板故障致 SOC 停机（芯片数严重不足/CRC）,日志中「power off hashboard」为关断算力板动作，勿与 PSU 模块故障混淆,日志中若多条 Chain 出现「only find … asic」远低于 110，且伴随 ERROR_SOC_INIT，多为多块板同时异常；分别检查各故障链的排线、供电接口；与正常链交叉换槽位判断是板还是槽位/控制板；确认 PSU 各组输出是否稳定，但勿将「power off hashboard」误判为 PSU 本体损坏；必要时逐板更换或送修；若固件支持可尝试仅启用健康链临时恢复部分算力,"2026-03-23 00:24:50 Chain 1 only find 0 asic, will power off hash board 1
2026-03-23 00:24:52 ERROR_SOC_INIT: soc init failed!
2026-03-23 00:24:52 stop_mining: soc init failed!
2026-03-23 00:24:52 ****power off hashboard****
2026-03-23 20:28:29 ****power off hashboard****
2026-03-23 20:35:46 Chain 1 only find 0 asic, will power off hash board 1
2026-03-23 20:35:48 ERROR_SOC_INIT: soc init failed!
2026-03-23 20:35:48 stop_mining: soc init failed!
2026-03-23 20:35:48 ****power off hashboard****
2026-03-23 20:47:43 ****power off hashboard****
2026-03-23 23:22:35 ****power off hashboard****
2026-03-23 23:27:39 ****power off hashboard****",logs_10_102_0_153_MINER-10-102-0-153.txt
10.102.0.155,0算力,0.000000,算力板/芯片异常,总线/通信异常；风扇异常,建议人工复核日志并做单机排障,"2026-03-12 23:11:04 !!! reg crc error
2026-03-12 23:11:04 !!! reg crc error
2026-03-13 23:57:33 ****power off hashboard****
2026-03-14 12:22:40 ****power off hashboard****
2026-03-14 12:57:42 ****power off hashboard****
2026-03-15 14:33:09 !!! reg crc error
2026-03-15 16:15:04 !!! reg crc error
2026-03-16 12:57:33 ****power off hashboard****
2026-03-16 13:32:40 ****power off hashboard****
2026-03-16 21:42:50 ****power off hashboard****
2026-03-16 21:57:33 ****power off hashboard****
2026-03-16 22:22:28 ****power off hashboard****",logs_10_102_0_155_MINER-10-102-0-155.txt
10.102.0.156,0算力,0.000000,算力板/芯片异常,总线/通信异常；风扇异常,建议人工复核日志并做单机排障,"2026-03-11 01:15:22 !!! reg crc error
2026-03-12 14:46:34 !!! reg crc error
2026-03-14 01:42:48 ****power off hashboard****
2026-03-14 12:22:40 ****power off hashboard****
2026-03-14 12:57:42 ****power off hashboard****
2026-03-15 05:15:30 !!! reg crc error
2026-03-15 07:42:30 !!! reg crc error
2026-03-15 09:30:05 !!! reg crc error
2026-03-15 09:30:05 !!! reg crc error
2026-03-15 15:59:46 !!! reg crc error
2026-03-16 11:01:12 !!! reg crc error
2026-03-16 12:57:33 ****power off hashboard****",logs_10_102_0_156_MINER-10-102-0-156.txt
