ip,status,ths_15m,primary_cause,secondary_causes,solutions,evidence,file
10.102.0.141,0算力,0.000000,单链算力板故障致 SOC 停机（芯片数异常/CRC/通信）,日志中「power off hashboard」为关断算力板动作，勿与 PSU 模块故障混淆,根据日志定位异常 Chain（如 find 0 asic、仅 find 部分数量、reg crc error）；断电后重插该链算力板排线与供电，做与正常链互换槽位测试以区分板卡与接口；若故障随板迁移则更换算力板；若固定在槽位则检查控制板与该槽位连线；若固件支持可尝试暂时禁用故障链仅跑健康链（注意功耗与收益）,"2026-03-23 00:26:39 Chain 2 only find 0 asic, will power off hash board 2
2026-03-23 00:26:39 ERROR_SOC_INIT: soc init failed!
2026-03-23 00:26:39 stop_mining: soc init failed!
2026-03-23 00:26:39 ****power off hashboard****
2026-03-23 00:20:03 Open miner sn file /config/sn error
2026-03-23 00:20:05 get test_loop_securely_find_asic_num failed
2026-03-23 00:26:39 ATTENTION: Failed to find the chip on the 20 consecutive startup
""Hardware Errors"": 0,
""Get Failures"": 27,
""Remote Failures"": 0,
""Hardware Errors"": 0,
""Get Failures"": 27,",logs_10_102_0_141_MINER-10-102-0-141.txt
10.102.0.142,0算力,0.000000,多块算力板故障致 SOC 停机（芯片数严重不足/CRC）,日志中「power off hashboard」为关断算力板动作，勿与 PSU 模块故障混淆,日志中若多条 Chain 出现「only find … asic」远低于 110，且伴随 ERROR_SOC_INIT，多为多块板同时异常；分别检查各故障链的排线、供电接口；与正常链交叉换槽位判断是板还是槽位/控制板；确认 PSU 各组输出是否稳定，但勿将「power off hashboard」误判为 PSU 本体损坏；必要时逐板更换或送修；若固件支持可尝试仅启用健康链临时恢复部分算力,"2026-03-23 00:27:40 Chain 0 only find 0 asic, will power off hash board 0
2026-03-23 00:27:47 Chain 2 only find 0 asic, will power off hash board 2
2026-03-23 00:27:47 ERROR_SOC_INIT: soc init failed!
2026-03-23 00:27:47 stop_mining: soc init failed!
2026-03-23 00:27:47 ****power off hashboard****
2026-03-23 00:20:05 get test_loop_securely_find_asic_num failed
2026-03-23 00:27:47 ATTENTION: Failed to find the chip on the 16 consecutive startup
""Hardware Errors"": 0,
""Get Failures"": 27,
""Remote Failures"": 0,
""Hardware Errors"": 0,
""Get Failures"": 27,",logs_10_102_0_142_MINER-10-102-0-142.txt
10.102.0.146,0算力,0.000000,单链算力板故障致 SOC 停机（芯片数异常/CRC/通信）,日志中「power off hashboard」为关断算力板动作，勿与 PSU 模块故障混淆,根据日志定位异常 Chain（如 find 0 asic、仅 find 部分数量、reg crc error）；断电后重插该链算力板排线与供电，做与正常链互换槽位测试以区分板卡与接口；若故障随板迁移则更换算力板；若固定在槽位则检查控制板与该槽位连线；若固件支持可尝试暂时禁用故障链仅跑健康链（注意功耗与收益）,"2026-03-23 00:24:45 Chain 0 only find 0 asic, will power off hash board 0
2026-03-23 00:24:49 ERROR_SOC_INIT: soc init failed!
2026-03-23 00:24:49 stop_mining: soc init failed!
2026-03-23 00:24:49 ****power off hashboard****
2026-03-23 00:20:04 get test_loop_securely_find_asic_num failed
2026-03-23 00:20:12 EEPROM error: CRC 3RD REGION
2026-03-23 00:24:49 ATTENTION: Failed to find the chip on the 17 consecutive startup
""Hardware Errors"": 0,
""Get Failures"": 27,
""Remote Failures"": 0,
""Hardware Errors"": 0,
""Get Failures"": 27,",logs_10_102_0_146_MINER-10-102-0-146.txt
10.102.0.150,低算力(<50TH/s),1.176560,温度传感器通信失败（误报超温/温差保护停机）,日志含 Fan check passed，可排除风扇本体故障,根据日志确认 fail to read tsensor / pic temp 的 chain 号，检查该链算力板排线、PIC 传感器侧连接是否松动或氧化；与正常链交叉换槽位：故障随板走则更换算力板；固定在槽位则查控制板接口与线缆；若日志中 PCB/芯片温度读数明显低于上限仍报 ERROR_TEMP，多为传感器数据异常而非真实过热；确认对应链供电稳定；固件层面勿轻易关闭温度保护，优先硬件修复或更换故障板,"2026-03-23 00:55:00 fail to read tsensor by iic, chain: 2, slave: 76, addr: 0
2026-03-23 00:55:00 fail to read pic temp for chain 2
2026-03-23 01:17:02 fail to read tsensor by iic, chain: 2, slave: 76, addr: 0
2026-03-23 01:17:02 fail to read pic temp for chain 2
2026-03-23 01:33:02 ERROR_TEMP_TOO_HIGH: over max temp
2026-03-23 01:33:02 ****power off hashboard****
2026-03-23 00:20:04 Open miner sn file /config/sn error
2026-03-23 00:20:06 get test_loop_securely_find_asic_num failed
2026-03-23 01:33:02 over max temp, pcb temp 89 (max 77), chip temp 104(max 95) pcb temp rise 0 chip temp rise 0, total_exit_failure 0
2026-03-23 01:33:02 Sweep error string = P:1.
""Hardware Errors"": 0,
""Get Failures"": 26,",logs_10_102_0_150_MINER-10-102-0-150.txt
10.102.0.151,0算力,0.000000,总线/通信异常,网络/矿池连接异常；电源异常,检查控制板与算力板通信线缆是否松动或损坏；排查干扰与接触不良；升级固件后复测链路稳定性,"========== errors（错误） ==========
2026-03-19T21:55:20.476248Z [ERROR] Failed to resolve (""a830bcc3.bos.braiins.com"", 3336)
2026-03-19T21:55:41.503639Z [ERROR] Failed to resolve (""a830bcc3.bos.braiins.com"", 3336)
2026-03-20T17:21:40.529803Z [ERROR] Monitor task declared miner shutdown due to a failure requiring user attention: Shutdown: {ERR:T1} temperature 85 is above DANGEROUS; miner will be paused
2026-03-20T17:21:54.532314Z [ERROR] Miner was shut down and is now paused due to Shutdown: {ERR:T1} temperature 85 is above DANGEROUS
2026-03-20T17:22:46.228913Z [ERROR] Disabling hashchains in miners without power controller (no PIC) is not allowed {ERR:H1}; leaving hashchain 2 enabled
2026-03-20T17:22:46.238683Z [ERROR] Disabling hashchains in miners without power controller (no PIC) is not allowed {ERR:H1}; leaving hashchain 3 enabled
2015-01-01T00:02:44.994892Z [ERROR] Failed to resolve (""sha256.poolbinance.com"", 443)
2015-01-01T00:02:44.998828Z [ERROR] Failed to resolve (""btc.poolbinance.com"", 1800)
2015-01-01T00:02:45.001101Z [ERROR] Failed to resolve (""a830bcc3.bos.braiins.com"", 3336)
2026-03-10T17:41:25.953821Z [ERROR] Disabling hashchains in miners without power controller (no PIC) is not allowed {ERR:H1}; leaving hashchain 2 enabled
2026-03-10T17:41:25.963932Z [ERROR] Disabling hashchains in miners without power controller (no PIC) is not allowed {ERR:H1}; leaving hashchain 3 enabled",logs_10_102_0_151_MINER-10-102-0-151.txt
10.102.0.153,0算力,0.000000,单链算力板故障致 SOC 停机（芯片数异常/CRC/通信）,日志中「power off hashboard」为关断算力板动作，勿与 PSU 模块故障混淆,根据日志定位异常 Chain（如 find 0 asic、仅 find 部分数量、reg crc error）；断电后重插该链算力板排线与供电，做与正常链互换槽位测试以区分板卡与接口；若故障随板迁移则更换算力板；若固定在槽位则检查控制板与该槽位连线；若固件支持可尝试暂时禁用故障链仅跑健康链（注意功耗与收益）,"2026-03-23 00:24:50 Chain 1 only find 0 asic, will power off hash board 1
2026-03-23 00:24:52 ERROR_SOC_INIT: soc init failed!
2026-03-23 00:24:52 stop_mining: soc init failed!
2026-03-23 00:24:52 ****power off hashboard****
2026-03-23 00:20:05 get test_loop_securely_find_asic_num failed
2026-03-23 00:24:52 ATTENTION: Failed to find the chip on the 12 consecutive startup
""Hardware Errors"": 0,
""Get Failures"": 27,
""Remote Failures"": 0,
""Hardware Errors"": 0,
""Get Failures"": 27,
""Remote Failures"": 0,",logs_10_102_0_153_MINER-10-102-0-153.txt
10.102.0.158,0算力,0.000000,部分算力板失效（初始化/ASIC枚举失败）,若 SUMMARY 仍有总算力，属低算力而非零算力；总线/通信异常,断电后检查故障算力板与控制板之间的电源线、数据线是否插紧、有无氧化；将故障板与正常板互换槽位或交叉到另一台同型号矿机，判断是板卡还是接口/控制板问题；在 LuxOS 中对异常板尝试手动复位或重新上电（若界面支持）；若多次 enumeration 后仍被永久关闭，按硬件损坏流程送修或更换算力板,"2026-03-23T00:19:59.486751Z [ERROR] Initialization of hashboard failed
2026-03-23T00:19:59.583881Z [WARN] Rebooting board; automatic start scheduled [enumeration_reboot, 1/5 - asic enumeration failure]
2026-03-23T00:20:00.488319Z [ERROR] Initialization of hashboard failed
2026-03-23T00:20:00.499657Z [WARN] Rebooting board; automatic start scheduled [enumeration_reboot, 1/5 - asic enumeration failure]
2026-03-23T00:20:06.988381Z [ERROR] Initialization of hashboard failed
2026-03-23T00:20:07.070062Z [WARN] Rebooting board; automatic start scheduled [enumeration_reboot, 2/5 - asic enumeration failure]
2026-03-23T00:20:13.624280Z [ERROR] Initialization of hashboard failed
2026-03-23T00:20:13.646434Z [WARN] Rebooting board; automatic start scheduled [enumeration_reboot, 3/5 - asic enumeration failure]
2026-03-23T00:20:20.124325Z [ERROR] Initialization of hashboard failed
2026-03-23T00:20:20.124867Z [WARN] Rebooting board; automatic start scheduled [enumeration_reboot, 4/5 - asic enumeration failure]
2026-03-23T00:20:26.624286Z [ERROR] Initialization of hashboard failed
2026-03-23T00:20:26.703060Z [WARN] Switching off the board; no automatic start scheduled, this board will remain offline [enumeration_reboot, 5/5 - asic enumeration failure]",logs_10_102_0_158_MINER-10-102-0-158.txt
10.102.0.161,0算力,0.000000,单链算力板故障致 SOC 停机（芯片数异常/CRC/通信）,日志中「power off hashboard」为关断算力板动作，勿与 PSU 模块故障混淆,根据日志定位异常 Chain（如 find 0 asic、仅 find 部分数量、reg crc error）；断电后重插该链算力板排线与供电，做与正常链互换槽位测试以区分板卡与接口；若故障随板迁移则更换算力板；若固定在槽位则检查控制板与该槽位连线；若固件支持可尝试暂时禁用故障链仅跑健康链（注意功耗与收益）,"2026-03-23 00:24:52 Chain 0 only find 90 asic, will power off hash board 0
2026-03-23 00:24:56 ERROR_SOC_INIT: soc init failed!
2026-03-23 00:24:56 stop_mining: soc init failed!
2026-03-23 00:24:56 ****power off hashboard****
2026-03-23 00:20:05 get test_loop_securely_find_asic_num failed
2026-03-23 00:24:56 ATTENTION: Failed to find the chip on the 13 consecutive startup
""Hardware Errors"": 0,
""Get Failures"": 27,
""Remote Failures"": 0,
""Hardware Errors"": 0,
""Get Failures"": 27,
""Remote Failures"": 0,",logs_10_102_0_161_MINER-10-102-0-161.txt
10.102.0.165,低算力(<50TH/s),0.044345,算力板全板失效（芯片未检出/初始化失败）,疑似供电/排线/控制板链路问题；网络/矿池连接异常,"断电后重新插拔控制板到三块算力板的数据排线与电源接口；重点检查 HB1/HB2/HB3 是否都出现 no chips detected 或 NoChipsDetected；交叉测试控制板与算力板，确认是控制板链路问题还是算力板损坏；检查 PSU 对算力板供电电压与负载稳定性（是否触发过流保护）；若仍失败，优先更换故障算力板或控制板；当前日志涉及 HB:1,2,3","2026-03-23T04:02:01.861293Z [ERROR] Tuner error: Disabled hashboard 2 {HB:2}: {ERR:I3} no chips detected on the current chain
2026-03-20T19:00:37.093224Z [ERROR] Tuner error: Disabled hashboard 2 {HB:2}: {ERR:I3} no chips detected on the current chain
2026-03-20T19:43:40.275030Z [ERROR] Tuner error: Disabled hashboard 1 {HB:1}: {ERR:I3} no chips detected on the current chain
2026-03-20T19:45:09.608596Z [ERROR] Tuner error: Disabled hashboard 2 {HB:2}: {ERR:I3} no chips detected on the current chain
2026-03-20T19:47:31.313371Z [ERROR] Tuner error: Disabled hashboard 3 {HB:3}: {ERR:I3} no chips detected on the current chain
2026-03-20T19:48:52.043748Z [ERROR] Tuner error: Disabled hashboard 1 {HB:1}: {ERR:I3} no chips detected on the current chain
2026-03-20T20:00:02.691889Z [ERROR] Tuner error: Disabled hashboard 1 {HB:1}: {ERR:I3} no chips detected on the current chain
2026-03-20T20:01:21.460525Z [ERROR] Tuner error: Disabled hashboard 2 {HB:2}: {ERR:I3} no chips detected on the current chain
2026-03-20T21:02:32.964811Z [ERROR] Tuner error: Disabled hashboard 1 {HB:1}: {ERR:I3} no chips detected on the current chain
2026-03-20T21:03:53.597296Z [ERROR] Tuner error: Disabled hashboard 2 {HB:2}: {ERR:I3} no chips detected on the current chain
2026-03-21T03:04:53.500627Z [ERROR] Tuner error: Disabled hashboard 1 {HB:1}: {ERR:I3} no chips detected on the current chain
2026-03-21T03:06:22.938191Z [ERROR] Tuner error: Disabled hashboard 2 {HB:2}: {ERR:I3} no chips detected on the current chain",logs_10_102_0_165_MINER-10-102-0-165.txt
10.102.0.167,低算力(<50TH/s),45.030642,算力板全板失效（芯片未检出/初始化失败）,疑似供电/排线/控制板链路问题；网络/矿池连接异常,"断电后重新插拔控制板到三块算力板的数据排线与电源接口；重点检查 HB1/HB2/HB3 是否都出现 no chips detected 或 NoChipsDetected；交叉测试控制板与算力板，确认是控制板链路问题还是算力板损坏；检查 PSU 对算力板供电电压与负载稳定性（是否触发过流保护）；若仍失败，优先更换故障算力板或控制板；当前日志涉及 HB:1,2","2026-03-15T19:00:59.536265Z [ERROR] Tuner error: Disabled hashboard 1 {HB:1}: {ERR:I3} no chips detected on the current chain
2026-03-15T19:02:11.187984Z [ERROR] Tuner error: Disabled hashboard 2 {HB:2}: {ERR:I3} no chips detected on the current chain
2026-03-16T20:57:08.393910Z [ERROR] Tuner error: Disabled hashboard 1 {HB:1}: {ERR:I3} no chips detected on the current chain
2026-03-16T20:58:20.117846Z [ERROR] Tuner error: Disabled hashboard 2 {HB:2}: {ERR:I3} no chips detected on the current chain
2026-03-18T14:58:58.079877Z [ERROR] Tuner error: Disabled hashboard 1 {HB:1}: {ERR:I3} no chips detected on the current chain
2026-03-18T15:00:10.761644Z [ERROR] Tuner error: Disabled hashboard 2 {HB:2}: {ERR:I3} no chips detected on the current chain
2026-03-22T18:19:34.711761Z [ERROR] Tuner error: Disabled hashboard 1 {HB:1}: {ERR:I3} no chips detected on the current chain
2026-03-22T18:20:55.906484Z [ERROR] Tuner error: Disabled hashboard 2 {HB:2}: {ERR:I3} no chips detected on the current chain
2026-03-23T00:23:04.518097Z [ERROR] Tuner error: Disabled hashboard 1 {HB:1}: {ERR:I3} no chips detected on the current chain
2026-03-23T00:24:29.412058Z [ERROR] Tuner error: Disabled hashboard 2 {HB:2}: {ERR:I3} no chips detected on the current chain
2026-03-10T16:11:01.043894Z [ERROR] Tuner error: Disabled hashboard 1 {HB:1}: {ERR:I3} no chips detected on the current chain
2026-03-10T16:12:13.076761Z [ERROR] Tuner error: Disabled hashboard 2 {HB:2}: {ERR:I3} no chips detected on the current chain",logs_10_102_0_167_MINER-10-102-0-167.txt
